model,benchmark_value,TP,TN,FP,FN,AUC,training_set,val_set,loss,optimizer,lr,epochs,batch_size,balance,fft_len,fft_overlap,chunks,image_size,val_ratio,resampling,BENCHMARK_AUC,VAL_AUC_MAX,AUC_MAX,history_file,configfile
src.cnn.models.ga.2.model_22,92.0,118.0,65.0,39.0,53.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,RMSprop,0.0001,424,8,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7052406668663025,0.7195231318473816,0.9915958642959595,de569167-aa99-4c55-a6f6-df0c63734e13.json,config_22.yaml
src.cnn.models.ga.2.model_23,93.0,160.0,22.0,82.0,11.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,0.01,114,37,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.6806961297988892,0.6978182792663574,0.6733250617980957,3c0d6474-d896-4a23-8f66-b3a8bc1b583a.json,config_23.yaml
src.cnn.models.ga.2.model_24,87.0,146.0,42.0,62.0,25.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,0.01,114,37,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.670659065246582,0.7194107174873352,0.6594792008399963,e02eceb5-4f7f-45c3-a3cf-b3e22802f711.json,config_24.yaml
src.cnn.models.ga.2.model_25,87.0,130.0,58.0,46.0,41.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adagrad,0.01,141,37,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.713056743144989,0.7253711819648743,0.722943902015686,c54ea3c4-b94f-447a-9b2c-f4571294e47f.json,config_25.yaml
src.cnn.models.ga.2.model_26,84.0,135.0,56.0,48.0,36.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,Adagrad,0.01,141,37,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7183423638343811,0.7246401906013489,0.7548537850379944,9924534a-6e83-413b-bcd1-457f8e689edf.json,config_26.yaml
src.cnn.models.ga.2.model_27,98.0,165.0,12.0,92.0,6.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,SGD,0.0001,114,38,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.531320333480835,0.5806061625480652,0.5587067604064941,d61d8210-4d91-44fd-b2e4-9f483119a19a.json,config_27.yaml
src.cnn.models.ga.2.model_28,99.0,168.0,8.0,96.0,3.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_crossentropy,SGD,0.0001,114,38,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.5110492706298828,0.5707658529281616,0.5305637717247009,dc999248-eb2f-4256-ab75-6e790b81d358.json,config_28.yaml
src.cnn.models.ga.2.model_29,116.0,156.0,3.0,101.0,15.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,1e-05,530,45,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.4951923191547394,0.4951923191547394,0.47466588020324707,78717cac-dfa8-4357-9703-101e295e0ef4.json,config_29.yaml
src.cnn.models.ga.2.model_30,171.0,0.0,104.0,0.0,171.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,1e-05,530,45,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.4543972313404083,0.482737272977829,0.49442121386528015,611c64ba-3b1a-48e7-8c08-b0bce4bb7136.json,config_30.yaml
src.cnn.models.ga.2.model_31,73.0,130.0,72.0,32.0,41.0,0,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/training,/home/michnaa/michna_fnkv/data/dataset/ch1_res60x240_octaves_fft1250_overlap625_resampleNone_t_svdadult_v_svdadult_balanced_True/validation,binary_focal_crossentropy,SGD,0.01,235,61,True,1250,625,1,"(60, 240)",0.6218181818181818,None,0.7547796368598938,0.7568320035934448,0.8716244101524353,2c7515f7-6503-4154-9cf5-e45eb8dee2eb.json,config_31.yaml
